Product,Ingredients,Ingredient - 1,Ingredient - 2,Ingredient - 3,Ingredient - 4,Ingredient - 5,Ingredient - 6,Manufacturing Step 1,Manufacturing Step 1 Description,Manufacturing Step 2,Manufacturing Step 2 Description,Manufacturing Step 3,Manufacturing Step 3 Description,Manufacturing Step 4,Manufacturing Step 4 Description,Manufacturing Step 5,Manufacturing Step 5 Description,,,,,,,,,,
Wheat Flour,Wheat Grains,Wheat Grains,,,,,,Cleaning,Remove impurities from Wheat Grains,Milling,Grind grains into flour,Sifting,Separate flour based on particle size,Enriching,Add nutrients to flour (if applicable),,,,,,,,,,,,
Colour: 110,Benzene,Benzene,,,,,,Synthesis,Benzene is chemically synthesized into colorant,Filtration,Remove impurities from the synthesized colorant,Drying,Remove moisture to obtain dry powder colorant,Blending,Blend with other ingredients if necessary,,,,,,,,,,,,
Gelatine,Collagen ,Collagen,,,,,,Extraction,Collagen is extracted from animal by-products,Purification,Purify the extracted collagen,Hydrolysis,Break down collagen into gelatine,Drying,Dry the gelatine to form a powder,,,,,,,Manufacturing Step 1,Manufacturing Step 2,Manufacturing Step 3,Manufacturing Step 4,Manufacturing Step 5,
Instant Coffee,Coffee beans,Coffee beans,,,,,,Roasting,Coffee beans are roasted to develop flavor,Grinding,Grind roasted beans into coarse powder,Extraction,Hot water is used to extract coffee from grounds,Concentration,Water is evaporated to concentrate coffee extract,Drying,Coffee extract is spray-dried into powder,,,,,Manufacturing Step 1 Description,Manufacturing Step 2 Description,Manufacturing Step 3 Description,Manufacturing Step 4 Description,,Manufacturing Step 5 Description
Malic Acid,"Apples, Cherries",Apples,Cherries,,,,,Extraction,Extract malic acid from apples and cherries,Filtration,Filter the extract to remove solids,Concentration,Concentrate the extract by removing water,Crystallization,Crystallize the concentrated extract to form malic acid,Drying,Dry the malic acid crystals,,,,,,,,,,
Guar Gum: E412,Guar beans,Guar beans,,,,,,Splitting,Split the beans to obtain endosperm,Grinding,Grind the endosperm to fine powder,Purification,Purify guar gum powder,Hydration,Hydrate powder to form the gum,Drying,Dry to achieve desired consistency,,,,,,,,,,
Smoke Flavour,"Hickory, Mesquite",Hickory,Mesquite,,,,,Wood Selection,Choose hickory and mesquite woods for smoking,Smoking Process,Expose to smoke to infuse flavor,Condensation,Condense smoke to capture flavor compounds,Purification,Remove impurities from condensed smoke,Filtration,Filter to obtain pure smoke flavor concentrate,,,,,,,,,,
Food Acid: 296,Apples,Apples,,,,,,Fruit Selection,Select and harvest apples,Juice Extraction,Extract juice from apples,Fermentation,Ferment juice to produce acid,Concentration,Concentrate the acid for potency,Neutralization,Neutralize excess acidity if necessary,,,,,,,,,,
Acidity Regulator: 296,Apples,Apples,,,,,,Fruit Selection,Select and harvest apples,Juice Extraction,Extract juice from apples,Fermentation,Ferment juice to produce acid,Concentration,Concentrate the acid for potency,Neutralization,Neutralize excess acidity if necessary,,,,,,,,,,
Vegetable Oil,"Soy Seeds, Corn Seeds, Palm Seeds",Soy Seeds,Corn Seeds,Palm Seeds,,,,Seed Selection,"Select soy, corn, and palm seeds",Pressing,Press seeds to extract oil,Refining,Refine oil to remove impurities,Blending,Blend oils to standardize product,Deodorizing,Remove odor from oil,,,,,,,,,,
Sunflower Oil,Sunflower Seeds,Sunflower Seeds,,,,,,Seed Selection,Select sunflower seeds,Pressing,Press seeds to extract oil,Refining,Refine oil to improve quality,Winterization,Remove waxes that cloud oil at low temperatures,Deodorizing,Remove odor from oil,,,,,,,,,,
Food Acid: Lactic Acid,"Sugar, Corn Starch",Sugar,Corn Starch,,,,,Fermentation Setup,Prepare sugar and corn starch fermentation blend,Fermentation,Ferment blend to produce lactic acid,Filtration,Filter to remove solids,Concentration,Concentrate the lactic acid,Purification,Purify lactic acid from fermentation by-products,,,,,,,,,,
Baking Powder,"Cream of tartar, sodium bicarbonate",Cream of tartar,sodium bicarbonate,,,,,Ingredient Mixing,Mix cream of tartar with sodium bicarbonate,Grinding,Grind mixture into fine powder,Testing,Test for correct chemical balance,Moisture Control,Adjust moisture to ensure stability,Blending,Blend with cornstarch if necessary for consistency,,,,,,,,,,
Skim Milk,Raw Cow Milk,Raw Cow Milk,,,,,,Milk Collection,Collect raw cow milk,Fat Separation,Separate fat from milk to produce skim milk,Pasteurization,Heat milk to eliminate pathogens,Homogenization,Break down fat molecules evenly in milk,Fortification,Add vitamins and minerals if necessary,,,,,,,,,,
baking Powder,"Cream of tartar, sodium bicarbonate",Cream of tartar,sodium bicarbonate,,,,,Ingredient Mixing,Mix cream of tartar with sodium bicarbonate,Grinding,Grind mixture into fine powder,Testing,Test for correct chemical balance,Moisture Control,Adjust moisture to ensure stability,Blending,Blend with cornstarch if necessary for consistency,,,,,,,,,,
